,categories
268,"[""Fiction""]"
269,"[""Fiction""]"
270,"[""Fiction""]"
271,"[""Juvenile Fiction""]"
272,"[""Juvenile Fiction""]"
273,"[""Juvenile Fiction""]"
274,"[""Juvenile Fiction""]"
275,"[""Juvenile Fiction""]"
276,"[""Fiction""]"
277,"[""Fiction""]"
278,"[""Mythology, Greek""]"
279,"[""Biographers""]"
280,"[""Fiction""]"
281,"[""Fiction""]"
282,"[""Fiction""]"
283,"[""Fiction""]"
284,[]
285,"[""Fiction""]"
286,"[""Fiction""]"
287,"[""Fiction""]"
288,"[""Americans""]"
289,"[""Juvenile Fiction""]"
290,"[""Fiction""]"
291,"[""Fiction""]"
292,"[""World War, 1939-1945""]"
293,"[""Fiction""]"
294,"[""Children's stories""]"
295,"[""Children's stories""]"
296,"[""Fiction""]"
297,"[""Comics & Graphic Novels""]"
298,"[""Comic books, strips, etc""]"
299,"[""Comics & Graphic Novels""]"
300,"[""Comics & Graphic Novels""]"
301,"[""American Sign Language""]"
302,"[""Fiction""]"
303,"[""Fiction""]"
304,"[""Biography & Autobiography""]"
305,"[""Fiction""]"
306,"[""Fiction""]"
307,"[""Fiction""]"
308,"[""Biography & Autobiography""]"
309,"[""Religion""]"
310,"[""Greek poetry""]"
311,"[""Fiction""]"
312,"[""Fiction""]"
313,"[""Philosophy""]"
314,"[""Family & Relationships""]"
315,"[""Fiction""]"
316,"[""Orphans""]"
317,"[""Juvenile Nonfiction""]"
318,"[""Book clubs (Discussion groups)""]"
319,"[""Fiction""]"
320,"[""Fiction""]"
321,"[""Fiction""]"
322,"[""Fiction""]"
323,"[""Family & Relationships""]"
324,"[""Fiction""]"
325,"[""Humor""]"
326,"[""Horror tales, American""]"
327,"[""Angels""]"
328,"[""Fiction""]"
329,"[""Fiction""]"
330,"[""Fiction""]"
331,"[""Fiction""]"
332,"[""Adventure stories""]"
333,"[""Fiction""]"
334,"[""Barbie dolls""]"
335,"[""Fiction""]"
336,"[""Nature""]"
337,"[""Fiction""]"
338,"[""Fiction""]"
339,"[""Biography & Autobiography""]"
340,"[""Fiction""]"
341,"[""Business & Economics""]"
342,"[""Fiction""]"
343,"[""Fiction""]"
344,"[""Fiction""]"
345,"[""Fiction""]"
346,[]
347,"[""Fiction""]"
348,"[""Biography & Autobiography""]"
349,"[""Fiction""]"
350,"[""Biography & Autobiography""]"
351,
352,"[""Travel""]"
353,"[""Pacific States""]"
354,"[""Fiction""]"
355,"[""Juvenile Fiction""]"
356,"[""Fiction""]"
357,"[""Business & Economics""]"
358,"[""Fiction""]"
359,"[""Fiction""]"
360,"[""Fiction""]"
361,"[""Fiction""]"
362,"[""History""]"
363,"[""Fiction""]"
364,"[""Fiction""]"
365,"[""Fiction""]"
366,
367,"[""Fiction""]"
368,"[""Fiction""]"
369,"[""Fiction""]"
370,"[""Juvenile Nonfiction""]"
371,"[""Juvenile Nonfiction""]"
372,"[""Fiction""]"
373,"[""Fiction""]"
374,"[""Fiction""]"
375,"[""Fiction""]"
376,"[""Fiction""]"
377,"[""Large type books""]"
378,"[""Social Science""]"
379,"[""Consolation""]"
380,"[""Religion""]"
381,"[""Juvenile Nonfiction""]"
382,"[""Change (Psychology)""]"
383,"[""Education""]"
384,"[""Religion""]"
385,"[""Biography & Autobiography""]"
386,"[""Missionaries""]"
387,"[""Juvenile Fiction""]"
388,"[""Juvenile Fiction""]"
389,"[""Fiction""]"
390,"[""Body, Mind & Spirit""]"
391,"[""Body, Mind & Spirit""]"
392,"[""Health & Fitness""]"
393,"[""Body, Mind & Spirit""]"
394,"[""Body, Mind & Spirit""]"
395,"[""Runes""]"
396,"[""Juvenile Fiction""]"
397,"[""Assassins""]"
398,"[""Fiction""]"
399,"[""Fiction""]"
400,"[""Fiction""]"
401,"[""Fiction""]"
402,"[""Fiction""]"
403,"[""Fiction""]"
404,"[""Social Science""]"
405,"[""Nature""]"
406,"[""Family & Relationships""]"
407,"[""Fiction""]"
408,"[""Fiction""]"
409,"[""Drama""]"
410,"[""Fiction""]"
411,"[""Fiction""]"
412,"[""Fiction""]"
413,"[""Fiction""]"
414,"[""Fiction""]"
415,"[""Biography & Autobiography""]"
416,"[""Fiction""]"
417,"[""Biography & Autobiography""]"
418,"[""Biography & Autobiography""]"
419,"[""Social Science""]"
420,"[""Camp sites, facilities, etc""]"
421,"[""Fiction""]"
422,"[""Biography & Autobiography""]"
423,"[""Biography & Autobiography""]"
424,"[""Self-Help""]"
425,"[""Artists""]"
426,"[""Food""]"
427,"[""Chile""]"
428,"[""Catalan literature""]"
429,"[""Foreign Language Study""]"
430,[]
431,[]
432,"[""Science fiction, Catalan""]"
433,[]
434,"[""Literary Criticism""]"
435,[]
436,"[""Fiction""]"
437,"[""Fiction""]"
438,[]
439,"[""Feminisme""]"
440,"[""Dublin (Ireland)""]"
441,"[""Fiction""]"
442,[]
443,"[""Music""]"
444,"[""Fiction""]"
445,"[""Humor""]"
446,"[""Psychology""]"
447,"[""Fiction""]"
448,"[""Juvenile Nonfiction""]"
449,"[""Juvenile Nonfiction""]"
450,"[""Fiction""]"
451,"[""Fiction""]"
452,"[""Fiction""]"
453,"[""Fiction""]"
454,"[""Fantasy fiction, English""]"
455,"[""Fiction""]"
456,"[""Fiction""]"
457,"[""Fiction""]"
458,"[""Games & Activities""]"
459,"[""Juvenile Fiction""]"
460,"[""Fiction""]"
461,"[""Fiction""]"
462,"[""History""]"
463,"[""Juvenile Fiction""]"
464,"[""Humor""]"
465,"[""Juvenile Fiction""]"
466,"[""Juvenile Fiction""]"
467,"[""Juvenile Nonfiction""]"
468,"[""Juvenile Fiction""]"
469,"[""Fiction""]"
470,"[""Bildungsromans, American""]"
471,"[""Juvenile Fiction""]"
472,"[""Fiction""]"
473,"[""Fiction""]"
474,"[""Fiction""]"
475,"[""Fiction""]"
476,"[""Fiction""]"
477,"[""Fiction""]"
478,"[""Fiction""]"
479,"[""Fiction""]"
480,"[""Genetic engineering""]"
481,"[""Fiction""]"
482,"[""Fiction""]"
483,"[""Fiction""]"
484,"[""Fiction""]"
485,"[""Fiction""]"
486,"[""Biography & Autobiography""]"
487,"[""Business & Economics""]"
488,"[""Adventure stories""]"
489,"[""Fiction""]"
490,"[""Games & Activities""]"
491,"[""Fiction""]"
492,"[""Fiction""]"
493,"[""Watercolor painting""]"
494,"[""Israel""]"
495,
496,"[""Literary Criticism""]"
497,"[""FICTION""]"
498,"[""Domestic fiction""]"
499,"[""Body, Mind & Spirit""]"
500,"[""Humor""]"
501,"[""Biography & Autobiography""]"
502,"[""Fiction""]"
503,"[""Fiction""]"
504,"[""Fiction""]"
505,"[""Fiction""]"
506,"[""Fiction""]"
507,"[""Fiction""]"
508,"[""Fiction""]"
509,"[""Detective and mystery stories""]"
510,"[""Fiction""]"
511,"[""Fiction""]"
512,"[""Fiction""]"
513,"[""Fiction""]"
514,"[""Cooking""]"
515,"[""Religion""]"
516,"[""Fiction""]"
517,"[""Fiction""]"
518,"[""Fiction""]"
519,
520,"[""Fiction""]"
521,"[""Country life""]"
522,"[""Fiction""]"
523,"[""Fiction""]"
524,"[""Poetry""]"
525,"[""Fiction""]"
526,"[""Fiction""]"
527,"[""Family & Relationships""]"
528,"[""Fiction""]"
529,"[""Fiction""]"
530,"[""Fiction""]"
531,"[""Poetry""]"
532,"[""Fiction""]"
533,"[""Fiction""]"
534,"[""Small, David (Fictitious character)""]"
535,"[""Fiction""]"
536,"[""Religion""]"
537,"[""Poetry""]"
538,"[""Religion""]"
539,"[""Poetry""]"
540,"[""Games & Activities""]"
541,"[""Fiction""]"
542,"[""Fiction""]"
543,"[""Fiction""]"
544,"[""Juvenile Fiction""]"
545,"[""Biography & Autobiography""]"
546,"[""Science""]"
547,"[""Health & Fitness""]"
548,"[""Carcinogens""]"
549,"[""Behaviorism (Psychology)""]"
550,"[""Education""]"
551,"[""Architecture""]"
552,"[""Fiction""]"
553,"[""Fiction""]"
554,"[""Fiction""]"
555,"[""Fiction""]"
556,"[""Fiction""]"
557,"[""Fiction""]"
558,"[""Fiction""]"
559,"[""Fiction""]"
560,"[""Manners and customs""]"
561,"[""Biography & Autobiography""]"
562,"[""Fiction""]"
563,
564,"[""Fiction""]"
565,"[""Fiction""]"
566,"[""Fiction""]"
567,"[""Fiction""]"
568,"[""FAMILY & RELATIONSHIPS""]"
569,"[""Language Arts & Disciplines""]"
570,"[""Fiction""]"
571,"[""Poetry""]"
572,"[""Fiction""]"
573,"[""Fiction""]"
574,"[""Fiction""]"
575,"[""Fiction""]"
576,"[""Fiction""]"
577,"[""Fiction""]"
578,"[""Fiction""]"
579,"[""Fiction""]"
580,"[""Fiction""]"
581,"[""Fiction""]"
582,"[""Fiction""]"
583,"[""Fiction""]"
584,"[""Fiction""]"
585,"[""Fiction""]"
586,"[""Fiction""]"
587,"[""Social Science""]"
588,"[""Fiction""]"
589,"[""Fiction""]"
590,"[""Fiction""]"
591,
592,"[""Fiction""]"
593,"[""Fiction""]"
594,"[""Fiction""]"
595,"[""Fiction""]"
596,"[""Fiction""]"
597,"[""Fiction""]"
598,"[""Christian fiction""]"
599,"[""Fiction""]"
600,"[""Christian fiction""]"
601,"[""Children""]"
602,"[""England""]"
603,"[""Organization and conduct of business""]"
604,"[""Fiction""]"
605,
606,"[""Fiction""]"
607,"[""Astrology""]"
608,"[""Fiction""]"
609,"[""Fiction""]"
610,"[""Fiction""]"
611,"[""Fiction""]"
612,"[""Psychology""]"
613,"[""Fiction""]"
614,
615,"[""Fiction""]"
616,"[""Jack""]"
617,"[""Fiction""]"
618,
619,"[""Fiction""]"
620,"[""Fiction""]"
621,"[""Fiction""]"
622,"[""Biography & Autobiography""]"
623,"[""Family & Relationships""]"
624,"[""Juvenile Fiction""]"
625,"[""Gardens""]"
626,"[""Dalmatian dog""]"
627,"[""Juvenile Fiction""]"
628,"[""Adventure and adventurers""]"
629,"[""Juvenile Fiction""]"
630,"[""Dinosaurs""]"
631,"[""Juvenile Nonfiction""]"
632,"[""Juvenile Fiction""]"
633,"[""Juvenile Nonfiction""]"
634,"[""Juvenile Fiction""]"
635,[]
636,"[""Fiction""]"
637,"[""Fiction""]"
638,"[""Fiction""]"
639,"[""History""]"
640,"[""Parapsychologists""]"
641,"[""Motion picture actors and actresses""]"
642,"[""Fiction""]"
643,"[""Fiction""]"
644,"[""Fiction""]"
645,"[""Fiction""]"
646,"[""Juvenile Fiction""]"
647,"[""Biography & Autobiography""]"
648,"[""Fiction""]"
649,"[""Juvenile Fiction""]"
650,"[""Juvenile Fiction""]"
651,"[""Fiction""]"
652,"[""Fiction""]"
653,"[""Juvenile Fiction""]"
654,"[""Juvenile Fiction""]"
655,"[""Fiction""]"
656,"[""Fiction""]"
657,"[""Fiction""]"
658,"[""Fiction""]"
659,"[""Social Science""]"
660,"[""Fiction""]"
661,"[""Juvenile Fiction""]"
662,"[""Juvenile Fiction""]"
663,"[""Overweight women""]"
664,"[""Fiction""]"
665,"[""Fiction""]"
666,
667,"[""Fiction""]"
668,"[""Fiction""]"
669,
670,"[""Fiction""]"
671,"[""Eskimos""]"
672,"[""Fiction""]"
673,"[""Fiction""]"
674,"[""Fiction""]"
675,"[""Juvenile Fiction""]"
676,"[""Fiction""]"
677,"[""Fiction""]"
678,"[""Religion""]"
679,"[""Fiction""]"
680,"[""Fiction""]"
681,"[""Business & Economics""]"
682,"[""Country life""]"
683,"[""Reference""]"
684,"[""Fiction""]"
685,"[""Fiction""]"
686,"[""Technology & Engineering""]"
687,"[""Fiction""]"
688,"[""Fiction""]"
689,"[""Fiction""]"
690,"[""Fiction""]"
691,"[""Language Arts & Disciplines""]"
692,"[""Fiction""]"
693,"[""Business & Economics""]"
694,"[""Business & Economics""]"
695,"[""Biography & Autobiography""]"
696,"[""Religion""]"
697,"[""Political Science""]"
698,"[""Fiction""]"
699,"[""Philosophy""]"
700,"[""Philosophy""]"
701,"[""Biography & Autobiography""]"
702,"[""Biography & Autobiography""]"
703,"[""Fiction""]"
704,"[""Young Adult Fiction""]"
705,"[""Fiction""]"
706,
707,"[""Fiction""]"
708,"[""Biography & Autobiography""]"
709,"[""Fiction""]"
710,"[""Fiction""]"
711,"[""Fiction""]"
712,"[""Fiction""]"
713,"[""Fiction""]"
714,"[""Fiction""]"
715,"[""Fiction""]"
716,"[""Fiction""]"
717,"[""Biography & Autobiography""]"
718,"[""Fiction""]"
719,"[""Fiction""]"
720,"[""Fiction""]"
721,"[""Fiction""]"
722,"[""Caribbean Area""]"
723,"[""Fiction""]"
724,[]
725,[]
726,
727,[]
728,"[""Fiction""]"
729,"[""Lhasa (China : District)""]"
730,[]
731,"[""Fiction""]"
732,[]
733,[]
734,"[""Fiction""]"
735,"[""French fiction""]"
736,[]
737,[]
738,
739,"[""Feminism""]"
740,"[""Feminism""]"
741,[]
742,"[""Women""]"
743,"[""Competition, International""]"
744,"[""Sex discrimination against women""]"
745,"[""Courtship""]"
746,"[""German language materials""]"
747,"[""India""]"
748,"[""Fiction""]"
749,"[""Fiction""]"
750,"[""Children""]"
751,"[""Fiction""]"
752,"[""Fiction""]"
753,"[""Fiction""]"
754,"[""Fiction""]"
755,"[""Fiction""]"
756,"[""Fiction""]"
757,"[""Fiction""]"
758,"[""Fiction""]"
759,"[""Fiction""]"
760,"[""Fiction""]"
761,"[""Fiction""]"
762,"[""Fiction""]"
763,"[""Fiction""]"
764,"[""Fiction""]"
765,"[""Fiction""]"
766,"[""Fiction""]"
767,"[""Fiction""]"
768,"[""Fiction""]"
769,"[""Fiction""]"
770,"[""Fiction""]"
771,"[""Biography & Autobiography""]"
772,"[""Abortion""]"
773,"[""Fiction""]"
774,"[""Fiction""]"
775,"[""Fiction""]"
776,"[""Fiction""]"
777,"[""Adult children of aging parents""]"
778,"[""Fiction""]"
779,"[""Fiction""]"
780,"[""Fiction""]"
781,"[""Fiction""]"
782,"[""Biography & Autobiography""]"
783,"[""Fiction""]"
784,"[""Fiction""]"
785,"[""Fiction""]"
786,"[""Fiction""]"
787,
788,"[""Fiction""]"
789,"[""Fiction""]"
790,"[""Christian fiction""]"
791,"[""Tennis players""]"
792,"[""Fiction""]"
793,"[""Fiction""]"
794,"[""Fiction""]"
795,"[""Fiction""]"
796,"[""Fiction""]"
797,"[""Fiction""]"
798,"[""Fiction""]"
799,"[""History""]"
800,"[""Juvenile Fiction""]"
801,"[""Conspiracies""]"
802,"[""Fiction""]"
803,"[""Colombian fiction""]"
804,"[""Fiction""]"
805,"[""Fiction""]"
806,"[""Biography & Autobiography""]"
807,"[""English fiction""]"
808,"[""Ghosts""]"
809,"[""Bk. 1""]"
810,
811,"[""Humor""]"
812,"[""Law""]"
813,"[""Cowboys""]"
814,"[""Signs and signboards""]"
815,"[""Juvenile Fiction""]"
816,"[""Comic books, strips, etc""]"
817,"[""Language Arts & Disciplines""]"
818,"[""Cookery for one""]"
819,
820,"[""Decoration and ornament, Celtic""]"
821,"[""Juvenile Nonfiction""]"
822,"[""Celts""]"
823,"[""Fairy tales""]"
824,"[""Children's stories""]"
825,[]
826,"[""Fiction""]"
827,"[""Cooking""]"
828,"[""Exercise""]"
829,"[""Philosophy""]"
830,"[""Children's stories""]"
831,"[""Fiction""]"
832,"[""Fiction""]"
833,"[""Humor""]"
834,"[""Fiction""]"
835,
836,"[""Lesbians""]"
837,"[""Fiction""]"
838,"[""Fiction""]"
839,"[""Americans""]"
840,"[""Fiction""]"
841,"[""Fiction""]"
842,"[""Lesbians""]"
843,"[""Biography & Autobiography""]"
844,"[""Fiction""]"
845,"[""Biography & Autobiography""]"
846,"[""Comics & Graphic Novels""]"
847,"[""Fiction""]"
848,"[""Fiction""]"
849,"[""Glasgow (Scotland)""]"
850,"[""Fiction""]"
851,"[""Humor""]"
852,"[""Fiction""]"
853,"[""Fiction""]"
854,"[""Fiction""]"
855,"[""Fiction""]"
856,"[""Fiction""]"
857,"[""Juvenile Fiction""]"
858,"[""Fiction""]"
859,"[""Fiction""]"
860,
861,"[""Elves""]"
862,"[""Young Adult Fiction""]"
863,"[""Fiction""]"
864,"[""Science fiction, American""]"
865,"[""Science fiction""]"
866,"[""Juvenile Fiction""]"
867,"[""Fiction""]"
868,"[""Fiction""]"
869,"[""Fiction""]"
870,"[""Belden, Trixie (Fictitious character)""]"
871,"[""Lesbians""]"
872,"[""Appalachian Region""]"
873,"[""Juvenile Nonfiction""]"
874,"[""Juvenile Fiction""]"
875,[]
876,"[""American wit and humor""]"
877,"[""Fiction""]"
878,"[""Bildungsromans""]"
879,"[""Fiction""]"
880,"[""Australia""]"
881,"[""Fiction""]"
882,"[""Fiction""]"
883,"[""Computers""]"
884,"[""Fiction""]"
885,"[""Fiction""]"
886,"[""Fiction""]"
887,"[""Education""]"
888,"[""Fiction""]"
889,"[""Humor""]"
890,"[""Fiction""]"
891,"[""Fiction""]"
892,"[""Fiction""]"
893,"[""History""]"
894,"[""Fiction""]"
895,"[""Juvenile Fiction""]"
896,"[""Juvenile Fiction""]"
897,"[""Juvenile Fiction""]"
898,"[""Juvenile Fiction""]"
899,"[""Juvenile Fiction""]"
900,"[""Juvenile Fiction""]"
901,"[""Juvenile Fiction""]"
902,"[""Juvenile Fiction""]"
903,"[""Juvenile Fiction""]"
904,"[""Fantasy""]"
905,"[""Juvenile Fiction""]"
906,"[""Juvenile Fiction""]"
907,"[""Juvenile Fiction""]"
908,"[""Juvenile Fiction""]"
909,"[""Juvenile Fiction""]"
910,"[""Juvenile Fiction""]"
911,"[""Young Adult Fiction""]"
912,"[""Fiction""]"
913,"[""Juvenile Fiction""]"
914,"[""Fiction""]"
915,"[""Juvenile Fiction""]"
916,"[""Biography & Autobiography""]"
917,"[""Chocolate""]"
918,"[""Swiss literature""]"
919,[]
920,"[""English fiction""]"
921,
922,"[""Fantasy""]"
923,"[""Fantasy fiction""]"
924,"[""Germans""]"
925,"[""Fiction""]"
926,"[""Fiction""]"
927,"[""History""]"
928,"[""History""]"
929,"[""History""]"
930,"[""Fiction""]"
931,"[""Fiction""]"
932,"[""London (England)""]"
933,"[""Fiction""]"
934,"[""Fiction""]"
935,"[""Fiction""]"
936,"[""Fiction""]"
937,"[""Social Science""]"
938,"[""Fiction""]"
939,"[""Poetry""]"
940,"[""Fiction""]"
941,"[""Fiction""]"
942,"[""Business & Economics""]"
943,"[""Selling""]"
944,"[""Religion""]"
945,"[""Fiction""]"
946,"[""Fiction""]"
947,"[""Language Arts & Disciplines""]"
948,"[""Fiction""]"
949,"[""Fiction""]"
950,"[""Religion""]"
951,"[""Computers""]"
952,"[""Biography & Autobiography""]"
953,"[""Fiction""]"
954,"[""Texas""]"
955,"[""Fiction""]"
956,"[""Mutual funds""]"
957,[]
958,"[""Fiction""]"
959,"[""Social Science""]"
960,"[""Business & Economics""]"
961,"[""Juvenile Fiction""]"
962,"[""Fiction""]"
963,"[""Fiction""]"
964,"[""Fiction""]"
965,"[""Fiction""]"
966,"[""Fiction""]"
967,"[""Fiction""]"
968,"[""Fiction""]"
969,"[""Fiction""]"
970,"[""Fiction""]"
971,"[""Fiction""]"
972,"[""Fiction""]"
973,"[""Fiction""]"
974,"[""Fiction""]"
975,"[""Fiction""]"
976,"[""Fiction""]"
977,"[""Fiction""]"
978,"[""Fiction""]"
979,[]
980,"[""Journalists""]"
981,"[""Drama""]"
982,"[""Fiction""]"
983,"[""Psychology""]"
984,"[""Fiction""]"
985,"[""Fiction""]"
986,"[""Fiction""]"
987,"[""Fiction""]"
988,"[""Fiction""]"
989,"[""American literature""]"
990,"[""Games""]"
991,"[""Fiction""]"
992,"[""Fiction""]"
993,"[""Fiction""]"
994,"[""Fiction""]"
995,"[""Fiction""]"
996,[]
997,"[""Body, Mind & Spirit""]"
998,"[""Performing Arts""]"
999,"[""Fiction""]"
